i,comhash,comhash0
0,0,646
1,784,596
2,1,628
3,29,657
4,88,631
5,70,657
6,30,614
7,0,657
8,8,676
9,1193,652
10,0,604
11,1,591
12,84,640
13,7,604
14,3,629
15,566,595
16,1,611
17,207,596
18,2,642
19,3,603
20,22,670
21,228,625
22,0,531
23,0,638
24,0,558
25,133,586
26,49,577
27,0,619
28,0,612
29,13,546
30,0,617
31,151,591
32,5,558
33,287,612
34,0,587
35,0,641
36,137,586
37,472,606
38,0,597
39,39,630
40,0,597
41,1540,603
42,0,583
43,8,605
44,0,607
45,0,601
46,13,613
47,231,641
48,0,610
49,681,619
50,65,592
51,40,665
52,105,644
53,17,567
54,3,649
55,0,663
56,2,651
57,63,617
58,4,662
59,6,663
60,149,629
61,8,600
62,764,634
63,8,603
64,1,675
65,16,653
66,36,634
67,1242,614
68,36,645
69,31,650
70,59,570
71,39,636
72,7,616
73,16,605
74,6,611
75,0,596
76,0,593
77,0,604
78,0,636
79,332,617
80,34,647
81,0,591
82,10,651
83,19,654
84,80,639
85,4,609
86,14,623
87,41,614
88,26,596
89,97,617
90,1,559
91,98,585
92,780,555
93,77,578
94,538,593
95,2471,593
96,2,562
97,527,578
98,857,591
99,6922,608
100,135,557
101,468,564
102,48,560
103,15,579
104,5,593
105,593,605
106,403,570
107,12,571
108,1,584
109,9,581
110,98,601
111,738,566
112,0,578
113,8913,529
114,17,631
115,7,553
116,82,560
117,301,618
118,0,584
119,0,591
120,41,577
121,958,597
122,1,601
123,16,597
124,5,558
125,0,577
126,1,569
127,5088,587
128,0,556
129,16666,577
130,2,585
131,131,577
132,40,516
133,347,596
134,0,561
135,0,542
136,74,595
137,566,574
138,13,567
139,0,594
140,4,545
141,0,564
142,0,555
143,2473,586
144,0,597
145,83,609
146,20,560
147,16,550
148,233,603
149,135,628
150,6,614
151,6,591
152,19,529
153,240,646
154,39,615
155,62,606
156,1206,576
157,244,590
158,456,596
159,159,586
160,10,576
161,196,592
162,3526,602
163,20523,586
164,193,573
165,144,580
166,58,554
167,3,604
168,20,595
169,451,586
170,936,571
171,0,561
172,0,557
173,0,563
174,0,598
175,137,557
176,0,600
177,9,633
178,0,570
179,5,580
180,0,555
181,32,591
182,0,552
183,0,558
184,2,584
185,2,522
186,0,571
187,2,560
188,0,516
189,0,551
190,6,524
191,67,525
192,0,542
193,827,537
194,0,560
195,5,560
196,0,514
197,55,508
198,0,502
199,0,534
200,0,558
201,13,518
202,0,500
203,0,482
204,0,568
205,1,528
206,0,568
207,21501,564
208,0,530
209,667,613
210,31,522
211,22,527
212,51,564
213,38,552
214,1,563
215,54,606
216,6,570
217,40,589
218,4,594
219,46,593
220,145,538
221,1278,605
222,1537,582
223,1220,669
224,10,561
225,667,612
226,21,668
227,451,627
228,17,631
229,38,552
230,1,678
231,1,662
232,383,642
233,40,650
234,162,592
235,4,596
236,0,647
237,0,667
238,0,635
239,360,610
240,0,696
241,45,656
242,31,636
243,0,629
244,1,651
245,194,673
246,0,606
247,0,658
248,1,637
249,11,664
250,2,569
251,0,638
252,0,620
253,0,624
254,1,629
255,15,610
256,0,632
257,1054,668
258,0,638
259,0,606
260,0,571
261,517,554
262,0,624
263,0,547
264,0,587
265,2100,555
266,0,600
267,0,685
268,0,568
269,0,604
270,6,629
271,2719,615
272,0,573
273,123,537
274,0,529
275,12,590
276,0,560
277,28,536
278,0,553
279,0,567
280,0,570
281,69,577
282,1,585
283,0,599
284,0,598
285,0,590
286,0,630
287,97,623
288,0,597
289,3,584
290,0,594
291,12,615
292,0,593
293,8,650
294,0,625
295,1,612
296,0,686
297,6,632
298,0,653
299,0,668
300,0,639
301,0,645
302,0,651
303,6,655
304,0,646
305,197,690
306,4,693
307,6,751
308,10,731
309,44,729
310,18,714
311,2,741
312,9,716
313,172,689
314,0,706
315,8,737
316,69,809
317,6,766
318,699,767
319,3,716
320,2,751
321,70,777
322,498,812
323,39165,765
324,47,786
325,154,700
326,17,738
327,106,730
328,2,709
329,347,765
330,109,666
331,0,759
332,2,686
333,0,671
334,0,687
335,104,677
336,4,734
337,0,677
338,33,705
339,14,691
340,94,687
341,11,697
342,6,638
343,18,647
344,3,623
345,65,652
346,0,664
347,101,648
348,1370,652
349,30,602
350,955,603
351,1578,665
352,0,678
353,1340,683
354,1600,678
355,6988,605
356,15,642
357,1059,656
358,0,658
359,3,647
360,5,651
361,211,651
362,291,676
363,0,673
364,4,709
365,0,721
366,2,631
367,4024,731
368,0,660
369,4372,750
370,2,710
371,30,691
372,10,752
373,222,763
374,0,777
375,0,720
376,962,729
377,252,755
378,0,789
379,745,784
380,2,791
381,0,781
382,0,774
383,1506,821
384,0,822
385,10808,768
386,0,846
387,9,881
388,7,850
389,6056,858
390,0,820
391,0,839
392,2,840
393,2714,832
394,191,868
395,1,854
396,10,908
397,0,859
398,0,862
399,16420,897
400,0,884
401,145,897
402,45,922
403,21,890
404,426,816
405,18,864
406,59,863
407,17,836
408,32,822
409,56,784
410,101,907
411,77,827
412,1841,772
413,176,862
414,108,795
415,41,830
416,9,839
417,56500,764
418,2603,747
419,24624,737
420,56,770
421,93,724
422,129,771
423,0,730
424,2,715
425,66,711
426,1289,731
427,0,790
428,0,740
429,0,744
430,0,740
431,53,770
432,0,733
433,3498,732
434,0,759
435,0,758
436,32,697
437,257,757
438,0,700
439,12,790
440,14,706
441,78,783
442,0,817
443,1,767
444,3,805
445,0,800
446,0,820
447,2060,776
448,0,825
449,49,867
450,3,817
451,8,932
452,21,932
453,31,843
454,0,887
455,0,838
456,0,882
457,42,889
458,0,947
459,0,872
460,141,898
461,20,896
462,176,926
463,7,952
464,0,980
465,3236,984
466,98,1004
467,25,941
468,92,1001
469,27,944
470,5,920
471,20,936
472,1,935
473,46,968
474,0,923
475,22,941
476,92,982
477,401,973
478,723,949
479,1233,872
480,5,980
481,182,864
482,40,941
483,5275,936
484,53,863
485,44,889
486,2,908
487,1,862
488,6,836
489,34,951
490,314,920
491,3,900
492,4,879
493,2,874
494,24,849
495,9119,802
496,0,868
497,253,855
498,0,845
499,0,807
500,1,831
501,116,818
502,0,836
503,0,843
504,2,794
505,573,778
506,1,792
507,0,842
508,2,833
509,0,745
510,0,754
511,49,804
512,0,800
513,3579,819
514,7,833
515,9,763
516,189,875
517,914,853
518,1,799
519,2,827
520,1,844
521,686,823
522,0,827
523,14,856
524,289,887
525,32,900
526,3,917
527,6503,876
528,8,878
529,14404,843
530,19,862
531,75,947
532,73,977
533,309,849
534,0,900
535,0,990
536,0,930
537,330,1023
538,61,957
539,0,1007
540,6,1071
541,95,1098
542,0,1019
543,435,1028
544,35,951
545,7928,998
546,0,933
547,59,1012
548,205,976
549,479,980
550,0,987
551,690,977
552,1,1030
553,5498,968
554,7,988
555,157,957
556,0,914
557,1,985
558,1391,995
559,10138,1008
560,0,888
561,6,998
562,0,923
563,6218,906
564,118,926
565,10,921
566,1,872
567,2,844
568,0,898
