i,comhash,comhash0
0, 2, 0
1, 394, 0
2, 47, 0
3, 299, 0
4, 12, 0
5, 53, 0
6, 1, 0
7, 4, 0
8, 2, 0
9, 62, 0
10, 18, 0
11, 4, 0
12, 24, 0
13, 8, 0
14, 14, 0
15, 232, 0
16, 1, 0
17, 426, 0
18, 42, 0
19, 237, 0
20, 11, 0
21, 51, 0
22, 1, 0
23, 1, 0
24, 3, 0
25, 57, 0
26, 22, 0
27, 5, 0
28, 22, 0
29, 9, 0
30, 23, 0
31, 272, 0
32, 0, 0
33, 439, 0
34, 49, 0
35, 279, 0
36, 14, 0
37, 55, 0
38, 2, 0
39, 2, 0
40, 5, 0
41, 43, 0
42, 28, 0
43, 5, 0
44, 11, 0
45, 10, 0
46, 20, 0
47, 227, 0
48, 0, 0
49, 472, 0
50, 37, 0
51, 296, 0
52, 13, 0
53, 63, 0
54, 2, 0
55, 0, 0
56, 4, 0
57, 50, 0
58, 26, 0
59, 2, 0
60, 19, 0
61, 14, 0
62, 25, 0
63, 262, 0
64, 3, 0
65, 430, 0
66, 34, 0
67, 260, 0
68, 9, 0
69, 48, 0
70, 1, 0
71, 7, 0
72, 5, 0
73, 28, 0
74, 23, 0
75, 2, 0
76, 25, 0
77, 15, 0
78, 20, 0
79, 247, 0
80, 1, 0
81, 427, 0
82, 55, 0
83, 279, 0
84, 14, 0
85, 72, 0
86, 1, 0
87, 1, 0
88, 1, 0
89, 40, 0
90, 24, 0
91, 4, 0
92, 21, 0
93, 17, 0
94, 15, 0
95, 271, 0
96, 1, 0
97, 460, 0
98, 66, 0
99, 302, 0
100, 7, 0
101, 55, 0
102, 2, 0
103, 0, 0
104, 8, 0
105, 59, 0
106, 25, 0
107, 3, 0
108, 17, 0
109, 9, 0
110, 15, 0
111, 275, 0
112, 0, 0
113, 355, 0
114, 57, 0
115, 249, 0
116, 12, 0
117, 59, 0
118, 0, 0
119, 4, 0
120, 2, 0
121, 48, 0
122, 28, 0
123, 0, 0
124, 27, 0
125, 10, 0
126, 21, 0
127, 269, 0
128, 2, 0
129, 494, 0
130, 56, 0
131, 280, 0
132, 13, 0
133, 53, 0
134, 0, 0
135, 3, 0
136, 4, 0
137, 48, 0
138, 22, 0
139, 0, 0
140, 25, 0
141, 10, 0
142, 9, 0
143, 242, 0
144, 0, 0
145, 430, 0
146, 46, 0
147, 243, 0
148, 9, 0
149, 56, 0
150, 4, 0
151, 3, 0
152, 5, 0
153, 56, 0
154, 19, 0
155, 3, 0
156, 13, 0
157, 14, 0
158, 32, 0
159, 240, 0
160, 0, 0
161, 446, 0
162, 41, 0
163, 279, 0
164, 4, 0
165, 36, 0
166, 2, 0
167, 3, 0
168, 1, 0
169, 62, 0
170, 19, 0
171, 1, 0
172, 21, 0
173, 5, 0
174, 14, 0
175, 263, 0
176, 0, 0
177, 395, 0
178, 41, 0
179, 293, 0
180, 8, 0
181, 52, 0
182, 0, 0
183, 2, 0
184, 3, 0
185, 46, 0
186, 21, 0
187, 2, 0
188, 22, 0
189, 9, 0
190, 23, 0
191, 250, 0
192, 0, 0
193, 406, 0
194, 58, 0
195, 253, 0
196, 6, 0
197, 40, 0
198, 1, 0
199, 1, 0
200, 5, 0
201, 52, 0
202, 22, 0
203, 7, 0
204, 12, 0
205, 16, 0
206, 20, 0
207, 260, 0
208, 2, 0
209, 367, 0
210, 38, 0
211, 254, 0
212, 10, 0
213, 70, 0
214, 1, 0
215, 5, 0
216, 1, 0
217, 45, 0
218, 16, 0
219, 6, 0
220, 23, 0
221, 6, 0
222, 29, 0
223, 236, 0
224, 0, 0
225, 410, 0
226, 47, 0
227, 267, 0
228, 6, 0
229, 46, 0
230, 0, 0
231, 2, 0
232, 4, 0
233, 56, 0
234, 27, 0
235, 4, 0
236, 17, 0
237, 7, 0
238, 34, 0
239, 221, 0
240, 0, 0
241, 412, 0
242, 52, 0
243, 295, 0
244, 5, 0
245, 48, 0
246, 0, 0
247, 2, 0
248, 6, 0
249, 39, 0
250, 21, 0
251, 3, 0
252, 21, 0
253, 5, 0
254, 16, 0
255, 272, 0
256, 0, 0
257, 412, 0
258, 60, 0
259, 279, 0
260, 13, 0
261, 68, 0
262, 0, 0
263, 6, 0
264, 5, 0
265, 62, 0
266, 16, 0
267, 4, 0
268, 25, 0
269, 5, 0
270, 17, 0
271, 255, 0
272, 0, 0
273, 441, 0
274, 72, 0
275, 261, 0
276, 5, 0
277, 61, 0
278, 1, 0
279, 1, 0
280, 6, 0
281, 46, 0
282, 20, 0
283, 5, 0
284, 19, 0
285, 8, 0
286, 22, 0
287, 264, 0
288, 1, 0
289, 430, 0
290, 41, 0
291, 226, 0
292, 10, 0
293, 58, 0
294, 1, 0
295, 6, 0
296, 1, 0
297, 59, 0
298, 21, 0
299, 0, 0
300, 18, 0
301, 7, 0
302, 22, 0
303, 263, 1
304, 3, 0
305, 433, 0
306, 40, 0
307, 240, 0
308, 13, 0
309, 55, 0
310, 1, 0
311, 1, 0
312, 6, 0
313, 51, 0
314, 17, 0
315, 3, 0
316, 20, 0
317, 12, 0
318, 17, 0
319, 249, 0
320, 0, 0
321, 390, 0
322, 46, 0
323, 268, 0
324, 4, 0
325, 42, 0
326, 2, 0
327, 3, 0
328, 8, 0
329, 52, 0
330, 19, 0
331, 5, 0
332, 15, 0
333, 6, 0
334, 13, 0
335, 258, 0
336, 0, 0
337, 416, 0
338, 53, 0
339, 271, 0
340, 19, 0
341, 55, 0
342, 2, 0
343, 1, 0
344, 3, 0
345, 56, 0
346, 26, 0
347, 4, 0
348, 23, 0
349, 3, 0
350, 15, 0
351, 252, 0
352, 0, 0
353, 400, 0
354, 49, 0
355, 285, 0
356, 10, 0
357, 48, 0
358, 0, 0
359, 2, 0
360, 4, 0
361, 59, 0
362, 21, 0
363, 2, 0
364, 22, 0
365, 8, 0
366, 15, 0
367, 227, 0
368, 1, 0
369, 450, 0
370, 59, 0
371, 257, 0
372, 8, 0
373, 43, 0
374, 2, 0
375, 3, 0
376, 7, 0
377, 60, 0
378, 25, 0
379, 3, 0
380, 16, 0
381, 9, 0
382, 22, 0
383, 264, 0
384, 0, 0
385, 375, 0
386, 41, 0
387, 278, 0
388, 14, 0
389, 58, 0
390, 0, 0
391, 1, 0
392, 3, 0
393, 67, 0
394, 32, 0
395, 3, 0
396, 24, 0
397, 12, 0
398, 12, 0
399, 262, 0
400, 0, 0
401, 438, 0
402, 48, 0
403, 245, 0
404, 9, 0
405, 47, 0
406, 5, 0
407, 1, 1
408, 1, 0
409, 65, 0
410, 17, 0
411, 1, 0
412, 29, 0
413, 13, 0
414, 20, 0
415, 273, 0
416, 0, 0
417, 411, 0
418, 50, 0
419, 240, 0
420, 7, 0
421, 56, 0
422, 0, 0
423, 2, 0
424, 4, 0
425, 50, 0
426, 22, 0
427, 2, 0
428, 24, 0
429, 11, 0
430, 24, 0
431, 260, 0
432, 2, 0
433, 455, 0
434, 51, 0
435, 278, 0
436, 10, 0
437, 36, 0
438, 6, 0
439, 2, 0
440, 3, 0
441, 55, 0
442, 25, 0
443, 3, 0
444, 28, 0
445, 11, 0
446, 28, 0
447, 288, 0
448, 0, 0
449, 446, 0
450, 41, 1
451, 269, 0
452, 12, 0
453, 54, 0
454, 2, 0
455, 3, 0
456, 5, 0
457, 54, 0
458, 31, 0
459, 4, 0
460, 23, 1
461, 12, 0
462, 12, 0
463, 221, 0
464, 0, 0
465, 422, 0
466, 47, 0
467, 259, 0
468, 10, 0
469, 56, 0
470, 1, 0
471, 2, 0
472, 2, 0
473, 64, 0
474, 23, 0
475, 3, 0
476, 17, 1
477, 21, 1
478, 13, 0
479, 281, 1
480, 0, 0
481, 433, 0
482, 44, 1
483, 251, 0
484, 5, 0
485, 34, 2
486, 2, 0
487, 4, 0
488, 0, 2
489, 49, 0
490, 20, 1
491, 1, 0
492, 15, 0
493, 9, 0
494, 20, 0
495, 267, 0
496, 0, 0
497, 437, 0
498, 39, 0
499, 245, 0
500, 13, 0
501, 69, 0
502, 3, 0
503, 3, 0
504, 2, 0
505, 46, 0
506, 28, 0
507, 4, 0
508, 29, 1
509, 8, 1
510, 15, 0
511, 244, 1
512, 0, 0
513, 444, 0
514, 38, 1
515, 270, 0
516, 23, 0
517, 43, 0
518, 0, 0
519, 0, 0
520, 6, 0
521, 52, 0
522, 25, 0
523, 2, 0
524, 28, 1
525, 13, 1
526, 21, 0
527, 267, 0
528, 0, 0
529, 425, 0
530, 35, 0
531, 313, 0
532, 10, 1
533, 41, 0
534, 2, 1
535, 4, 0
536, 2, 0
537, 55, 0
538, 19, 0
539, 6, 0
540, 15, 0
541, 17, 0
542, 16, 1
543, 272, 1
544, 2, 1
545, 407, 0
546, 46, 0
547, 266, 0
548, 11, 0
549, 61, 1
550, 1, 0
551, 7, 2
552, 6, 0
553, 43, 0
554, 17, 0
555, 5, 2
556, 18, 2
557, 6, 0
558, 12, 1
559, 249, 0
560, 1, 0
561, 452, 1
562, 65, 1
563, 289, 0
564, 14, 0
565, 43, 2
566, 1, 1
567, 3, 0
568, 7, 0
569, 34, 1
570, 15, 0
571, 7, 0
572, 18, 1
573, 12, 1
574, 25, 0
575, 248, 1
576, 1, 1
577, 444, 0
578, 53, 1
579, 270, 1
580, 12, 0
581, 42, 0
582, 2, 0
583, 5, 1
584, 9, 0
585, 63, 3
586, 22, 0
587, 4, 0
588, 25, 2
589, 7, 1
590, 24, 0
591, 254, 0
592, 0, 2
593, 391, 1
594, 48, 0
595, 292, 0
596, 11, 0
597, 42, 5
598, 0, 0
599, 4, 0
600, 6, 1
601, 47, 1
602, 22, 1
603, 3, 0
604, 18, 0
605, 11, 2
606, 15, 0
607, 247, 3
608, 1, 1
609, 406, 5
610, 60, 3
611, 285, 1
612, 16, 1
613, 58, 2
614, 1, 3
615, 3, 2
616, 5, 4
617, 51, 2
618, 22, 2
619, 3, 12
620, 20, 0
621, 7, 9
622, 31, 1
623, 228, 1
624, 5, 3
625, 472, 4
626, 39, 3
627, 263, 5
628, 8, 8
629, 55, 2
630, 2, 9
631, 1, 4
632, 5, 7
633, 50, 4
634, 20, 5
635, 2, 9
636, 13, 5
637, 9, 5
638, 15, 3
639, 276, 9
640, 1, 7
641, 414, 5
642, 54, 3
643, 256, 2
644, 12, 2
645, 44, 3
646, 6, 6
647, 4, 0
648, 5, 2
649, 36, 2
650, 19, 1
651, 5, 2
652, 24, 1
653, 6, 3
654, 20, 1
655, 252, 1
656, 0, 1
657, 421, 2
658, 46, 4
659, 284, 2
660, 12, 3
661, 56, 2
662, 2, 2
663, 1, 1
664, 4, 0
665, 39, 1
666, 25, 1
667, 6, 1
668, 20, 1
669, 13, 3
670, 15, 3
671, 263, 5
672, 1, 2
673, 449, 1
674, 43, 3
675, 295, 2
676, 17, 2
677, 51, 6
678, 5, 4
679, 5, 4
680, 4, 7
681, 53, 9
682, 22, 8
683, 3, 9
684, 22, 6
685, 6, 6
686, 19, 6
687, 261, 5
688, 0, 8
689, 425, 7
690, 46, 5
691, 261, 9
692, 7, 11
693, 50, 14
694, 0, 15
695, 3, 12
696, 4, 8
697, 50, 8
698, 17, 7
699, 4, 10
700, 26, 16
701, 12, 14
702, 22, 15
703, 245, 22
704, 0, 13
705, 415, 18
706, 49, 11
707, 269, 8
708, 9, 14
709, 47, 14
710, 0, 9
711, 3, 12
712, 8, 17
713, 56, 10
714, 14, 13
715, 6, 15
716, 16, 16
717, 13, 11
718, 19, 11
719, 253, 13
720, 0, 15
721, 415, 4
722, 52, 8
723, 274, 15
724, 5, 5
725, 54, 9
726, 4, 12
727, 1, 12
728, 1, 8
729, 69, 6
730, 26, 12
731, 2, 7
732, 25, 8
733, 13, 9
734, 22, 11
735, 236, 12
736, 1, 6
737, 482, 6
738, 46, 4
739, 271, 9
740, 3, 10
741, 54, 8
742, 1, 9
743, 5, 16
744, 3, 9
745, 53, 13
746, 15, 11
747, 1, 11
748, 19, 3
749, 11, 9
750, 14, 6
751, 266, 8
752, 0, 15
753, 445, 23
754, 59, 8
755, 287, 25
756, 9, 15
757, 51, 15
758, 4, 24
759, 2, 18
760, 5, 30
761, 47, 21
762, 25, 19
763, 7, 29
764, 22, 22
765, 12, 26
766, 18, 26
767, 253, 26
768, 2, 26
769, 446, 21
770, 45, 26
771, 258, 36
772, 11, 21
773, 52, 42
774, 2, 43
775, 1, 23
776, 3, 39
777, 36, 42
778, 23, 53
779, 6, 41
780, 30, 36
781, 9, 44
782, 33, 44
783, 249, 37
784, 0, 29
785, 484, 43
786, 40, 39
787, 251, 41
788, 16, 46
789, 44, 41
790, 3, 32
791, 2, 29
792, 8, 42
793, 62, 33
794, 30, 27
795, 0, 34
796, 28, 35
797, 10, 41
798, 22, 22
799, 260, 23
800, 0, 25
801, 474, 15
802, 52, 19
803, 207, 24
804, 16, 15
805, 30, 25
806, 3, 17
807, 6, 19
808, 7, 20
809, 42, 19
810, 18, 12
811, 5, 18
812, 14, 21
813, 6, 10
814, 13, 19
815, 253, 27
816, 0, 25
817, 442, 18
818, 41, 21
819, 264, 19
820, 10, 25
821, 55, 23
822, 2, 17
823, 2, 14
824, 6, 27
825, 59, 20
826, 19, 26
827, 7, 30
828, 22, 23
829, 12, 30
830, 24, 27
831, 241, 32
832, 0, 39
833, 431, 46
834, 58, 34
835, 251, 54
836, 11, 43
837, 69, 55
838, 1, 46
839, 1, 51
840, 6, 52
841, 59, 17261
842, 11, 56
843, 4, 60
844, 20, 66
845, 16, 69
846, 15, 53
847, 249, 60
848, 2, 56
849, 411, 70
850, 53, 76
851, 254, 56
852, 10, 80
853, 51, 61
854, 3, 64
855, 0, 77
